STORE_ID,TIME_STAMP,SHELF_NUMBER,SHELF_DESC,AVERAGE_QUANTITY,SHELF_OCCUPANCY_PERC,STORE_PERSON_ACTIVITY_FLAG,CUSTOMER_ACTIVITY_FLAG,FOOTFALL_ACTIVITY_FLAG,COUNTER_ACTIVITY_FLAG
1,1/1/2007 18:00,shelf4,Oral,1188,1,9,16,26,0
1,1/1/2007 18:00,shelf5,Hair,900,1,9,18,37,8
1,1/1/2007 19:00,shelf1,TEA & COFFEE,66.5,0.66,2,2,14,1
1,1/1/2007 19:00,shelf2,Skin,22.8,0.044,8,15,32,3
1,1/1/2007 19:00,shelf3,CPD,570,1,2,7,12,0
1,1/1/2007 19:00,shelf4,Oral,950,1,15,16,22,10
1,1/1/2007 19:00,shelf5,Hair,570,1,5,8,10,0
1,1/1/2007 20:00,shelf1,TEA & COFFEE,50,0.5,5,7,25,4
1,1/1/2007 20:00,shelf2,Skin,76,0.152,14,15,29,2
1,1/1/2007 20:00,shelf3,CPD,1040,1,19,25,41,2
1,1/1/2007 20:00,shelf4,Oral,1480,1,18,27,39,8
1,1/1/2007 20:00,shelf5,Hair,560,1,11,15,23,9
1,1/1/2007 21:00,shelf1,TEA & COFFEE,35.7,0.35,16,19,28,7
1,1/1/2007 21:00,shelf2,Skin,23.1,0.046,3,6,24,0
1,1/1/2007 21:00,shelf3,CPD,420,1,19,19,36,0
1,1/1/2007 21:00,shelf4,Oral,798,1,8,11,19,2
1,1/1/2007 21:00,shelf5,Hair,924,1,0,0,16,0
1,1/1/2007 22:00,shelf1,TEA & COFFEE,59.4,0.59,14,20,23,5
1,1/1/2007 22:00,shelf2,Skin,35.2,0.07,16,19,20,15
1,1/1/2007 22:00,shelf3,CPD,704,1,11,13,21,7
1,1/1/2007 22:00,shelf4,Oral,1100,1,2,8,21,0
1,1/1/2007 22:00,shelf5,Hair,616,1,19,19,33,16
1,1/1/2007 23:00,shelf1,TEA & COFFEE,52.9,0.52,1,5,16,0
1,1/1/2007 23:00,shelf2,Skin,62.1,0.124,1,5,15,0
1,1/1/2007 23:00,shelf3,CPD,920,1,12,16,27,5
1,1/1/2007 23:00,shelf4,Oral,920,1,7,14,15,6
1,1/1/2007 23:00,shelf5,Hair,1012,1,17,26,42,3
1,2/1/2007 0:00,shelf1,TEA & COFFEE,0,0,11,19,24,3
1,2/1/2007 0:00,shelf2,Skin,0,0,7,15,20,6
1,2/1/2007 0:00,shelf3,CPD,0,0,12,17,30,4
1,2/1/2007 0:00,shelf4,Oral,0,0,16,17,33,9
1,2/1/2007 0:00,shelf5,Hair,0,0,13,16,19,2
1,2/1/2007 1:00,shelf1,TEA & COFFEE,3.9,0.03,9,15,33,7
1,2/1/2007 1:00,shelf2,Skin,2.3,0.004,13,17,23,6
1,2/1/2007 1:00,shelf3,CPD,24,0.12,17,24,35,5
1,2/1/2007 1:00,shelf4,Oral,42,0.84,9,10,14,1
1,2/1/2007 1:00,shelf5,Hair,34,0.085,17,22,35,9
1,2/1/2007 2:00,shelf1,TEA & COFFEE,6.4,0.06,5,12,18,0
1,2/1/2007 2:00,shelf2,Skin,6.2,0.012,11,18,31,3
1,2/1/2007 2:00,shelf3,CPD,152,0.76,7,16,17,2
1,2/1/2007 2:00,shelf4,Oral,100,1,0,2,12,0
1,2/1/2007 2:00,shelf5,Hair,100,0.25,14,20,38,5
1,2/1/2007 3:00,shelf1,TEA & COFFEE,11.1,0.11,11,12,19,5
1,2/1/2007 3:00,shelf2,Skin,9.9,0.018,2,5,20,1
1,2/1/2007 3:00,shelf3,CPD,72,0.36,11,14,28,6
1,2/1/2007 3:00,shelf4,Oral,174,1,2,11,26,0
1,2/1/2007 3:00,shelf5,Hair,66,0.165,11,18,37,7
1,2/1/2007 4:00,shelf1,TEA & COFFEE,5.2,0.05,14,16,35,12
1,2/1/2007 4:00,shelf2,Skin,7.2,0.014,1,9,10,0
1,2/1/2007 4:00,shelf3,CPD,232,1,10,11,19,5
1,2/1/2007 4:00,shelf4,Oral,128,1,0,9,23,0
1,2/1/2007 4:00,shelf5,Hair,296,0.74,0,6,23,0
1,2/1/2007 5:00,shelf1,TEA & COFFEE,10,0.1,11,14,23,7
1,2/1/2007 5:00,shelf2,Skin,13,0.026,10,10,27,4
1,2/1/2007 5:00,shelf3,CPD,350,1,6,11,22,4
1,2/1/2007 5:00,shelf4,Oral,160,1,13,22,35,2
1,2/1/2007 5:00,shelf5,Hair,200,0.5,2,4,4,1
1,2/1/2007 6:00,shelf1,TEA & COFFEE,17.4,0.17,7,13,16,1
1,2/1/2007 6:00,shelf2,Skin,17.4,0.034,6,13,26,3
1,2/1/2007 6:00,shelf3,CPD,360,1,15,19,27,6
1,2/1/2007 6:00,shelf4,Oral,264,1,2,11,24,0
1,2/1/2007 6:00,shelf5,Hair,264,0.66,17,24,36,13
1,2/1/2007 7:00,shelf1,TEA & COFFEE,12.6,0.12,14,16,31,7
1,2/1/2007 7:00,shelf2,Skin,9.1,0.018,18,18,29,8
1,2/1/2007 7:00,shelf3,CPD,322,1,8,10,23,0
1,2/1/2007 7:00,shelf4,Oral,252,1,4,13,17,2
1,2/1/2007 7:00,shelf5,Hair,154,0.385,0,4,17,0
1,2/1/2007 8:00,shelf1,TEA & COFFEE,18.4,0.18,1,8,10,0
1,2/1/2007 8:00,shelf2,Skin,12.8,0.024,5,8,27,1
1,2/1/2007 8:00,shelf3,CPD,416,1,0,2,12,0
1,2/1/2007 8:00,shelf4,Oral,608,1,8,9,11,0
1,2/1/2007 8:00,shelf5,Hair,320,0.8,6,7,9,2
1,2/1/2007 9:00,shelf1,TEA & COFFEE,26.1,0.26,0,7,25,0
1,2/1/2007 9:00,shelf2,Skin,11.7,0.022,14,17,32,3
1,2/1/2007 9:00,shelf3,CPD,288,1,10,12,27,2
1,2/1/2007 9:00,shelf4,Oral,504,1,19,28,38,17
1,2/1/2007 9:00,shelf5,Hair,468,1,10,18,33,3
1,2/1/2007 10:00,shelf1,TEA & COFFEE,19,0.19,3,5,9,0
1,2/1/2007 10:00,shelf2,Skin,15,0.03,17,25,35,4
1,2/1/2007 10:00,shelf3,CPD,700,1,6,8,8,3
1,2/1/2007 10:00,shelf4,Oral,400,1,7,11,12,4
1,2/1/2007 10:00,shelf5,Hair,540,1,4,11,20,0
1,2/1/2007 11:00,shelf1,TEA & COFFEE,30.8,0.3,10,14,27,7
1,2/1/2007 11:00,shelf2,Skin,30.8,0.06,12,20,20,0
1,2/1/2007 11:00,shelf3,CPD,704,1,13,16,21,6
1,2/1/2007 11:00,shelf4,Oral,462,1,7,13,15,3
1,2/1/2007 11:00,shelf5,Hair,484,1,1,2,3,0
1,2/1/2007 12:00,shelf1,TEA & COFFEE,31.2,0.31,6,10,21,4
1,2/1/2007 12:00,shelf2,Skin,21.6,0.042,1,10,20,0
1,2/1/2007 12:00,shelf3,CPD,864,1,12,14,24,11
1,2/1/2007 12:00,shelf4,Oral,336,1,16,25,37,5
1,2/1/2007 12:00,shelf5,Hair,696,1,11,20,26,9
1,2/1/2007 13:00,shelf1,TEA & COFFEE,26,0.26,1,8,8,0
1,2/1/2007 13:00,shelf2,Skin,13,0.026,7,11,14,4
1,2/1/2007 13:00,shelf3,CPD,312,1,4,13,19,3
1,2/1/2007 13:00,shelf4,Oral,364,1,0,7,18,0
1,2/1/2007 13:00,shelf5,Hair,910,1,19,27,35,4
1,2/1/2007 14:00,shelf1,TEA & COFFEE,39.2,0.39,11,12,12,3
1,2/1/2007 14:00,shelf2,Skin,53.2,0.106,0,5,13,0
1,2/1/2007 14:00,shelf3,CPD,588,1,17,24,31,10
1,2/1/2007 14:00,shelf4,Oral,1092,1,16,21,29,0
1,2/1/2007 14:00,shelf5,Hair,1008,1,17,24,26,1
1,2/1/2007 15:00,shelf1,TEA & COFFEE,19.5,0.19,9,16,31,0
1,2/1/2007 15:00,shelf2,Skin,54,0.108,19,25,27,9
1,2/1/2007 15:00,shelf3,CPD,900,1,16,24,28,1
1,2/1/2007 15:00,shelf4,Oral,870,1,3,7,8,1
1,2/1/2007 15:00,shelf5,Hair,1170,1,3,6,15,2
1,2/1/2007 16:00,shelf1,TEA & COFFEE,20.8,0.2,17,17,27,5
1,2/1/2007 16:00,shelf2,Skin,51.2,0.102,16,23,41,3
1,2/1/2007 16:00,shelf3,CPD,1088,1,0,9,9,0
1,2/1/2007 16:00,shelf4,Oral,320,1,18,26,34,10
1,2/1/2007 16:00,shelf5,Hair,1216,1,14,20,22,5
1,2/1/2007 17:00,shelf1,TEA & COFFEE,35.7,0.35,10,18,29,2
1,2/1/2007 17:00,shelf2,Skin,45.9,0.09,14,16,25,7
1,2/1/2007 17:00,shelf3,CPD,1054,1,2,2,2,1
1,2/1/2007 17:00,shelf4,Oral,544,1,6,12,16,3
1,2/1/2007 17:00,shelf5,Hair,986,1,3,12,31,1
1,2/1/2007 18:00,shelf1,TEA & COFFEE,21.6,0.21,7,12,30,2
1,2/1/2007 18:00,shelf2,Skin,63,0.126,4,13,19,2
1,2/1/2007 18:00,shelf3,CPD,1116,1,5,7,16,3
1,2/1/2007 18:00,shelf4,Oral,684,1,12,18,35,4
1,2/1/2007 18:00,shelf5,Hair,1152,1,19,23,31,15
1,2/1/2007 19:00,shelf1,TEA & COFFEE,45.6,0.45,14,15,21,6
1,2/1/2007 19:00,shelf2,Skin,19,0.038,15,21,22,6
1,2/1/2007 19:00,shelf3,CPD,760,1,12,20,33,9
1,2/1/2007 19:00,shelf4,Oral,874,1,13,17,25,2
1,2/1/2007 19:00,shelf5,Hair,1064,1,5,14,24,0
1,2/1/2007 20:00,shelf1,TEA & COFFEE,40,0.4,8,11,25,2
1,2/1/2007 20:00,shelf2,Skin,52,0.104,13,19,23,3
1,2/1/2007 20:00,shelf3,CPD,840,1,17,17,23,8
1,2/1/2007 20:00,shelf4,Oral,880,1,9,9,12,7
1,2/1/2007 20:00,shelf5,Hair,400,1,5,7,26,1
1,2/1/2007 21:00,shelf1,TEA & COFFEE,69.3,0.69,18,20,20,9
1,2/1/2007 21:00,shelf2,Skin,50.4,0.1,19,22,37,12
1,2/1/2007 21:00,shelf3,CPD,1134,1,12,16,33,3
1,2/1/2007 21:00,shelf4,Oral,1470,1,13,20,24,7
1,2/1/2007 21:00,shelf5,Hair,1554,1,13,13,14,8
1,2/1/2007 22:00,shelf1,TEA & COFFEE,24.2,0.24,12,13,25,10
1,2/1/2007 22:00,shelf2,Skin,28.6,0.056,2,3,21,0
1,2/1/2007 22:00,shelf3,CPD,1584,1,3,11,15,1
1,2/1/2007 22:00,shelf4,Oral,748,1,19,25,27,0
1,2/1/2007 22:00,shelf5,Hair,616,1,11,15,29,0
1,2/1/2007 23:00,shelf1,TEA & COFFEE,50.6,0.5,9,15,31,4
1,2/1/2007 23:00,shelf2,Skin,73.6,0.146,11,16,18,10
1,2/1/2007 23:00,shelf3,CPD,1288,1,4,11,14,0
1,2/1/2007 23:00,shelf4,Oral,1334,1,12,15,24,5
1,2/1/2007 23:00,shelf5,Hair,736,1,3,5,6,0
1,3/1/2007 0:00,shelf1,TEA & COFFEE,0,0,7,11,25,0
1,3/1/2007 0:00,shelf2,Skin,0,0,16,19,27,5
1,3/1/2007 0:00,shelf3,CPD,0,0,6,9,16,1
1,3/1/2007 0:00,shelf4,Oral,0,0,14,20,30,4
1,3/1/2007 0:00,shelf5,Hair,0,0,1,4,15,0
1,3/1/2007 1:00,shelf1,TEA & COFFEE,1.2,0.01,16,24,33,13
1,3/1/2007 1:00,shelf2,Skin,2.8,0.004,13,13,23,12
1,3/1/2007 1:00,shelf3,CPD,66,0.33,19,21,26,2
1,3/1/2007 1:00,shelf4,Oral,74,1,13,22,24,0
1,3/1/2007 1:00,shelf5,Hair,56,0.14,8,9,23,1
1,3/1/2007 2:00,shelf1,TEA & COFFEE,2.2,0.02,3,4,18,2
1,3/1/2007 2:00,shelf2,Skin,7.6,0.014,13,16,29,3
1,3/1/2007 2:00,shelf3,CPD,100,0.5,8,12,21,5
1,3/1/2007 2:00,shelf4,Oral,84,1,17,25,39,16
1,3/1/2007 2:00,shelf5,Hair,44,0.11,17,18,28,5
1,3/1/2007 3:00,shelf1,TEA & COFFEE,9,0.09,9,15,26,5
1,3/1/2007 3:00,shelf2,Skin,3.3,0.006,16,19,36,3
1,3/1/2007 3:00,shelf3,CPD,120,0.6,1,6,24,0
1,3/1/2007 3:00,shelf4,Oral,198,1,17,23,28,8
1,3/1/2007 3:00,shelf5,Hair,60,0.15,2,7,16,0
1,3/1/2007 4:00,shelf1,TEA & COFFEE,12.4,0.12,17,22,29,13
1,3/1/2007 4:00,shelf2,Skin,7.2,0.014,17,23,38,14
1,3/1/2007 4:00,shelf3,CPD,304,1,16,18,21,3
1,3/1/2007 4:00,shelf4,Oral,232,1,16,17,20,10
1,3/1/2007 4:00,shelf5,Hair,88,0.22,19,21,38,11
1,3/1/2007 5:00,shelf1,TEA & COFFEE,13.5,0.13,13,22,27,8
1,3/1/2007 5:00,shelf2,Skin,5,0.01,15,16,33,8
1,3/1/2007 5:00,shelf3,CPD,200,1,5,7,21,2
1,3/1/2007 5:00,shelf4,Oral,320,1,11,11,25,9
1,3/1/2007 5:00,shelf5,Hair,170,0.425,16,16,24,13
1,3/1/2007 6:00,shelf1,TEA & COFFEE,21,0.21,6,7,25,1
1,3/1/2007 6:00,shelf2,Skin,6,0.012,19,23,35,16
1,3/1/2007 6:00,shelf3,CPD,468,1,8,13,21,2
1,3/1/2007 6:00,shelf4,Oral,312,1,18,21,26,4
1,3/1/2007 6:00,shelf5,Hair,312,0.78,14,23,29,7
1,3/1/2007 7:00,shelf1,TEA & COFFEE,21.7,0.21,19,26,37,10
1,3/1/2007 7:00,shelf2,Skin,16.8,0.032,9,14,19,0
1,3/1/2007 7:00,shelf3,CPD,350,1,1,3,11,0
1,3/1/2007 7:00,shelf4,Oral,308,1,6,15,29,4
1,3/1/2007 7:00,shelf5,Hair,336,0.84,16,21,23,7
1,3/1/2007 8:00,shelf1,TEA & COFFEE,26.4,0.26,17,24,24,11
1,3/1/2007 8:00,shelf2,Skin,12,0.024,16,21,25,3
1,3/1/2007 8:00,shelf3,CPD,192,0.96,17,24,37,9
1,3/1/2007 8:00,shelf4,Oral,272,1,17,17,36,0
1,3/1/2007 8:00,shelf5,Hair,608,1,18,24,29,9
1,3/1/2007 9:00,shelf1,TEA & COFFEE,28.8,0.28,3,4,4,0
1,3/1/2007 9:00,shelf2,Skin,16.2,0.032,3,10,14,2
1,3/1/2007 9:00,shelf3,CPD,234,1,5,11,24,2
1,3/1/2007 9:00,shelf4,Oral,216,1,4,6,11,0
1,3/1/2007 9:00,shelf5,Hair,234,0.585,2,10,21,0
1,3/1/2007 10:00,shelf1,TEA & COFFEE,23,0.23,0,9,9,0
1,3/1/2007 10:00,shelf2,Skin,37,0.074,14,14,14,13
1,3/1/2007 10:00,shelf3,CPD,760,1,10,13,13,1
1,3/1/2007 10:00,shelf4,Oral,640,1,6,6,17,2
1,3/1/2007 10:00,shelf5,Hair,360,0.9,6,9,27,5
1,3/1/2007 11:00,shelf1,TEA & COFFEE,15.4,0.15,8,15,21,4
1,3/1/2007 11:00,shelf2,Skin,42.9,0.084,4,12,25,3
1,3/1/2007 11:00,shelf3,CPD,836,1,5,6,6,4
1,3/1/2007 11:00,shelf4,Oral,308,1,18,19,26,1
1,3/1/2007 11:00,shelf5,Hair,440,1,19,21,31,14
1,3/1/2007 12:00,shelf1,TEA & COFFEE,31.2,0.31,17,23,32,16
1,3/1/2007 12:00,shelf2,Skin,19.2,0.038,0,1,1,0
1,3/1/2007 12:00,shelf3,CPD,528,1,4,13,25,0
1,3/1/2007 12:00,shelf4,Oral,744,1,12,14,28,4
1,3/1/2007 12:00,shelf5,Hair,408,1,14,20,31,8
1,3/1/2007 13:00,shelf1,TEA & COFFEE,46.8,0.46,16,16,32,14
1,3/1/2007 13:00,shelf2,Skin,33.8,0.066,17,24,39,5
1,3/1/2007 13:00,shelf3,CPD,416,1,11,14,30,10
1,3/1/2007 13:00,shelf4,Oral,806,1,15,22,29,10
1,3/1/2007 13:00,shelf5,Hair,364,0.91,16,18,29,11
1,3/1/2007 14:00,shelf1,TEA & COFFEE,26.6,0.26,9,14,15,4
1,3/1/2007 14:00,shelf2,Skin,46.2,0.092,13,21,40,2
1,3/1/2007 14:00,shelf3,CPD,448,1,4,8,16,3
1,3/1/2007 14:00,shelf4,Oral,336,1,6,13,19,4
1,3/1/2007 14:00,shelf5,Hair,812,1,12,16,23,4
1,3/1/2007 15:00,shelf1,TEA & COFFEE,21,0.21,9,11,15,8
1,3/1/2007 15:00,shelf2,Skin,48,0.096,14,16,22,12
1,3/1/2007 15:00,shelf3,CPD,960,1,14,18,34,4
1,3/1/2007 15:00,shelf4,Oral,570,1,17,25,32,9
1,3/1/2007 15:00,shelf5,Hair,1110,1,12,17,21,2
1,3/1/2007 16:00,shelf1,TEA & COFFEE,24,0.24,2,3,11,1
1,3/1/2007 16:00,shelf2,Skin,33.6,0.066,12,19,30,1
1,3/1/2007 16:00,shelf3,CPD,960,1,7,8,19,4
1,3/1/2007 16:00,shelf4,Oral,1120,1,19,22,33,9
1,3/1/2007 16:00,shelf5,Hair,704,1,15,18,21,0
1,3/1/2007 17:00,shelf1,TEA & COFFEE,35.7,0.35,1,6,11,0
1,3/1/2007 17:00,shelf2,Skin,54.4,0.108,6,13,28,1
1,3/1/2007 17:00,shelf3,CPD,782,1,2,8,12,0
1,3/1/2007 17:00,shelf4,Oral,612,1,17,25,41,12
1,3/1/2007 17:00,shelf5,Hair,816,1,11,17,24,6
1,3/1/2007 18:00,shelf1,TEA & COFFEE,18,0.18,4,12,13,1
1,3/1/2007 18:00,shelf2,Skin,52.2,0.104,11,17,23,6
1,3/1/2007 18:00,shelf3,CPD,720,1,13,21,32,7
1,3/1/2007 18:00,shelf4,Oral,684,1,15,24,42,13
1,3/1/2007 18:00,shelf5,Hair,432,1,9,11,16,5
1,3/1/2007 19:00,shelf1,TEA & COFFEE,22.8,0.22,1,5,5,0
1,3/1/2007 19:00,shelf2,Skin,62.7,0.124,15,22,38,0
1,3/1/2007 19:00,shelf3,CPD,722,1,16,21,31,13
1,3/1/2007 19:00,shelf4,Oral,1140,1,16,18,35,3
1,3/1/2007 19:00,shelf5,Hair,456,1,4,6,12,3
1,3/1/2007 20:00,shelf1,TEA & COFFEE,36,0.36,16,22,24,15
1,3/1/2007 20:00,shelf2,Skin,60,0.12,19,22,25,10
1,3/1/2007 20:00,shelf3,CPD,1080,1,2,4,4,0
1,3/1/2007 20:00,shelf4,Oral,1320,1,12,17,21,8
1,3/1/2007 20:00,shelf5,Hair,1200,1,6,15,25,4
1,3/1/2007 21:00,shelf1,TEA & COFFEE,79.8,0.79,11,18,36,1
1,3/1/2007 21:00,shelf2,Skin,71.4,0.142,2,5,12,0
1,3/1/2007 21:00,shelf3,CPD,882,1,8,11,11,3
1,3/1/2007 21:00,shelf4,Oral,420,1,18,24,43,5
1,3/1/2007 21:00,shelf5,Hair,1302,1,10,10,29,5
1,3/1/2007 22:00,shelf1,TEA & COFFEE,35.2,0.35,6,11,13,4
1,3/1/2007 22:00,shelf2,Skin,57.2,0.114,11,16,19,1
1,3/1/2007 22:00,shelf3,CPD,748,1,6,13,20,5
1,3/1/2007 22:00,shelf4,Oral,1716,1,16,17,34,3
1,3/1/2007 22:00,shelf5,Hair,924,1,17,18,29,3
1,3/1/2007 23:00,shelf1,TEA & COFFEE,52.9,0.52,5,13,20,4
1,3/1/2007 23:00,shelf2,Skin,41.4,0.082,7,10,18,6
1,3/1/2007 23:00,shelf3,CPD,1242,1,3,6,16,1
1,3/1/2007 23:00,shelf4,Oral,1702,1,17,19,21,16
1,3/1/2007 23:00,shelf5,Hair,1196,1,9,17,21,8
1,4/1/2007 0:00,shelf1,TEA & COFFEE,0,0,0,1,9,0
1,4/1/2007 0:00,shelf2,Skin,0,0,10,14,29,5
1,4/1/2007 0:00,shelf3,CPD,0,0,19,22,27,7
1,4/1/2007 0:00,shelf4,Oral,0,0,7,12,24,4
1,4/1/2007 0:00,shelf5,Hair,0,0,11,12,25,3
1,4/1/2007 1:00,shelf1,TEA & COFFEE,1.3,0.01,9,14,28,0
1,4/1/2007 1:00,shelf2,Skin,3.7,0.006,4,11,11,0
1,4/1/2007 1:00,shelf3,CPD,64,0.32,14,20,34,6
1,4/1/2007 1:00,shelf4,Oral,44,0.88,10,16,34,1
1,4/1/2007 1:00,shelf5,Hair,48,0.12,4,11,28,0
1,4/1/2007 2:00,shelf1,TEA & COFFEE,5.8,0.05,12,21,25,2
1,4/1/2007 2:00,shelf2,Skin,4.8,0.008,3,7,9,2
1,4/1/2007 2:00,shelf3,CPD,68,0.34,6,15,26,0
1,4/1/2007 2:00,shelf4,Oral,124,1,12,18,26,9
1,4/1/2007 2:00,shelf5,Hair,88,0.22,8,14,21,1
1,4/1/2007 3:00,shelf1,TEA & COFFEE,5.4,0.05,10,14,33,7
1,4/1/2007 3:00,shelf2,Skin,9.6,0.018,17,26,29,2
1,4/1/2007 3:00,shelf3,CPD,150,0.75,5,14,17,2
1,4/1/2007 3:00,shelf4,Oral,126,1,14,14,15,11
1,4/1/2007 3:00,shelf5,Hair,126,0.315,10,10,14,2
1,4/1/2007 4:00,shelf1,TEA & COFFEE,4,0.04,16,21,38,5
1,4/1/2007 4:00,shelf2,Skin,7.2,0.014,8,17,20,2
1,4/1/2007 4:00,shelf3,CPD,160,0.8,6,7,14,1
1,4/1/2007 4:00,shelf4,Oral,288,1,17,20,32,12
1,4/1/2007 4:00,shelf5,Hair,176,0.44,7,15,22,5
1,4/1/2007 5:00,shelf1,TEA & COFFEE,5,0.05,16,25,38,14
1,4/1/2007 5:00,shelf2,Skin,5.5,0.01,7,16,30,5
1,4/1/2007 5:00,shelf3,CPD,180,0.9,6,13,15,0
1,4/1/2007 5:00,shelf4,Oral,270,1,1,4,7,0
1,4/1/2007 5:00,shelf5,Hair,310,0.775,9,10,17,8
1,4/1/2007 6:00,shelf1,TEA & COFFEE,21.6,0.21,8,8,27,0
1,4/1/2007 6:00,shelf2,Skin,7.2,0.014,16,18,32,5
1,4/1/2007 6:00,shelf3,CPD,192,0.96,16,24,41,13
1,4/1/2007 6:00,shelf4,Oral,360,1,10,13,32,7
1,4/1/2007 6:00,shelf5,Hair,468,1,4,12,16,1
1,4/1/2007 7:00,shelf1,TEA & COFFEE,14,0.14,0,4,12,0
1,4/1/2007 7:00,shelf2,Skin,26.6,0.052,4,9,10,0
1,4/1/2007 7:00,shelf3,CPD,504,1,19,19,38,5
1,4/1/2007 7:00,shelf4,Oral,518,1,9,10,28,0
1,4/1/2007 7:00,shelf5,Hair,322,0.805,16,25,44,2
1,4/1/2007 8:00,shelf1,TEA & COFFEE,11.2,0.11,12,12,15,4
1,4/1/2007 8:00,shelf2,Skin,20.8,0.04,0,7,18,0
1,4/1/2007 8:00,shelf3,CPD,336,1,12,17,22,11
1,4/1/2007 8:00,shelf4,Oral,352,1,16,19,35,0
1,4/1/2007 8:00,shelf5,Hair,384,0.96,17,20,32,14
1,4/1/2007 9:00,shelf1,TEA & COFFEE,30.6,0.3,7,12,16,6
